vinculo;categoria;cargo;ano_exercicio;remuneracao_basica;vantagens_pessoais;funcao_comissionada;gratificacao_natalina;horas_extras;horas_eventuais;abono;reversao_teto;IR;INSS;falta;remuneracao_liquida;diarias;auxilios;vantagens_indenizadoras
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2013;2850.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-15.42;-386.65;0.0;2448.0;0.0;1071.74;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-88.48;0.0;0.0;-88.48;0.0;-17.89;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2020;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-52.67;-261.54;0.0;2553.75;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2020;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-52.67;-261.54;0.0;2553.75;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-386.65;0.0;2481.31;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-64.91;0.0;0.0;-64.91;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;982.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1091.08;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;2867.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-43.87;-386.65;0.0;2437.44;0.0;1104.28;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-116.92;0.0;0.0;-116.92;0.0;0.0;0
